London Fog,"(bergamot, petitgrain, lemon, black tea, rosemary, chamomile, ",,
,"dried tea, sage leaf, lavender)",,
,,,
Matcha Moon ,"(neon pistachio, candied lemon, bergamot, almond, jasmine, matcha powder, ",,
,"amber, musk, sandalwood)",,
Sweater Weather ,"(autumn leaves, spearmind, eucalyptus, juniper berry, sage, wood)",,
Flannel ,"(bergamot, mahogany, musk)",,
Home For Christmas ,"(holiday fruit, clove, mint, pine, sugared berries, cinnamon, vanilla, light musk)",,
Salted Caramel ,"(butter, cinnamon, coconut, vanilla, maple)",,
Love Spell ,"(crisp citrus, berry, green, lavender, musk)",,
Black Ice,"(orange, pine, citrus, violet, lavender, jasmine, sandalwood, musk)",,
Volcano,"(fruit, water, tropical, foliage, exotic, driftwood)",,
Harvest Gathering (type),"(fruit, berries, cinnamon, clove, spice)",,
Endless Weekend ,"(citrus, berry, magnolia, lily, vanilla, sandalwood, musk)",,
Cucumber & Green Tea,"(orange, lime, green leaves, cucumber, clove, rose, jasmine, musk)",,
Mahogany Teakwood,"(fresh lavender, geranium, warm mahogany, earthy wood)",,
Sea Salt Oasis,"(seafoam, green melon, lotus flower, lily pads, water iris, blue kelp, driftwood)",,
Sugar Cookie Royale,"(sugar, bakery, dough, butter, vanilla)",,
Wild Daisy Dream,"(wild strawberry, tea rose, wild daisies, marigold daffodil, pink poppies, blonde woods,",,
,"sweet sugar, sheer musk)",,
Georgia Peach,"(citrus, peach, green, fruit, vanilla, musk)",,
Vanilla Buttercream Crunch,"(butter, coconut, vanilla, maple)",,
Cherry Heat,"(sour cherry, saffron, leather, osmanthus, apricot, smoked guaiacwood)",,
Narcissist ,"(peach, raspberry, osmanthus, cinnamon, anise, rose, orange blossom",,
,"patchouli, sandalwood, egyptian musk)",,
